seed	replicate	model	label	factor	bits	value	predecessor	gap
20260909	1	upward_scan	RSA-180	1	298	466293513267645530730980966040398076839545873486333903691075903962498529702384474652853877	466293513267645530730980966040398076839545873486333903691075903962498529702384474652853787	90
20260909	1	upward_scan	RSA-180	2	298	418695709984042728284178909587776296066640142885448141780979965890525477546602076726799401	418695709984042728284178909587776296066640142885448141780979965890525477546602076726798723	678
20260909	1	upward_scan	RSA-190	1	314	28549773082207614212287035381591776009183204335262958155592894270129092348058567609428139463223	28549773082207614212287035381591776009183204335262958155592894270129092348058567609428139462617	606
20260909	1	upward_scan	RSA-190	2	315	62655675996500109405576967035561891757220198546475518139013073828857443653224039182633672790067	62655675996500109405576967035561891757220198546475518139013073828857443653224039182633672789803	264
20260909	1	upward_scan	RSA-200	1	331	4034712740542149059851392863414903070080666904768550362549662283800917574349506451143353644061901141	4034712740542149059851392863414903070080666904768550362549662283800917574349506451143353644061900889	252
20260909	1	upward_scan	RSA-200	2	332	7716358816168625262386405576728678069902008643448297448882165452616247937631452057158930224593933781	7716358816168625262386405576728678069902008643448297448882165452616247937631452057158930224593933031	750
20260909	1	upward_scan	RSA-210	1	348	446383484063596300700843329244647949195375456409800364831997076829696010648490942319043431074989525882427	446383484063596300700843329244647949195375456409800364831997076829696010648490942319043431074989525881191	1236
20260909	1	upward_scan	RSA-210	2	348	445594071008912742832898914486881988293629428793763470162644459326235150267214656540666686770532844403951	445594071008912742832898914486881988293629428793763470162644459326235150267214656540666686770532844403663	288
20260909	1	upward_scan	RSA-220	1	364	30216798932026245927536581186304287758515682307667937439257162130398729648496197562360581041809597244420483867	30216798932026245927536581186304287758515682307667937439257162130398729648496197562360581041809597244420482667	1200
20260909	1	upward_scan	RSA-220	2	365	62543528006655479709563957853017288267608757976311289370565347178099517841634600077635102222569397952327554053	62543528006655479709563957853017288267608757976311289370565347178099517841634600077635102222569397952327553831	222
20260909	1	upward_scan	RSA-230	1	381	4532057383500928525563307663691318256612955119786488059396818958995299729412378460195289959399075197596025168627533	4532057383500928525563307663691318256612955119786488059396818958995299729412378460195289959399075197596025168626369	1164
20260909	1	upward_scan	RSA-230	2	381	4661846646745020366295696955372800202503943131734482387873570681353509034928660406648426290867948044824991265352437	4661846646745020366295696955372800202503943131734482387873570681353509034928660406648426290867948044824991265350391	2046
20260909	1	upward_scan	RSA-240	1	397	271576016614565917869211704739092356771480958590896762175572746284782260423556694272092209052033089790065831821292334857	271576016614565917869211704739092356771480958590896762175572746284782260423556694272092209052033089790065831821292333933	924
20260909	1	upward_scan	RSA-240	2	398	553828123944934585714082985212334224849360525745725884768521908771360755018366700769951541936813722339849780146036488727	553828123944934585714082985212334224849360525745725884768521908771360755018366700769951541936813722339849780146036488013	714
20260909	1	upward_scan	RSA-250	1	414	36074010619600681029552609798318988975174902972026108669898187351226151532979535752943233755664851315378916566824489472357949	36074010619600681029552609798318988975174902972026108669898187351226151532979535752943233755664851315378916566824489472357301	648
20260909	1	upward_scan	RSA-250	2	415	81473518436050133135620592192841407730801482273231104132087328944980345098582050626761066902722723794779127751000566803706567	81473518436050133135620592192841407730801482273231104132087328944980345098582050626761066902722723794779127751000566803706093	474
20260909	1	upward_scan	RSA-260	1	431	4631745076648360853849492851061540205974988144204154713261869260540718031085035356833886282042889674435067390829080976841365535483	4631745076648360853849492851061540205974988144204154713261869260540718031085035356833886282042889674435067390829080976841365534619	864
